nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	"soundtrack,actor,miscellaneous"	"tt0043044,tt0072308,tt0053137,tt0050419"
nm0000002	Lauren Bacall	1924	2014	"actress,soundtrack"	"tt0071877,tt0037382,tt0117057,tt0038355"
nm0000003	Brigitte Bardot	1934	\N	"actress,soundtrack,producer"	"tt0054452,tt0059956,tt0057345,tt0049189"
nm0000004	John Belushi	1949	1982	"actor,writer,soundtrack"	"tt0072562,tt0078723,tt0080455,tt0077975"
nm0000005	Ingmar Bergman	1918	2007	"writer,director,actor"	"tt0083922,tt0069467,tt0050986,tt0050976"
nm0000006	Ingrid Bergman	1915	1982	"actress,soundtrack,producer"	"tt0038109,tt0071877,tt0038787,tt0036855"
nm0000007	Humphrey Bogart	1899	1957	"actor,soundtrack,producer"	"tt0037382,tt0034583,tt0043265,tt0033870"
nm0000008	Marlon Brando	1924	2004	"actor,soundtrack,director"	"tt0070849,tt0078788,tt0044081,tt0068646"
nm0000009	Richard Burton	1925	1984	"actor,producer,soundtrack"	"tt0087803,tt0057877,tt0059749,tt0061184"
nm0000010	James Cagney	1899	1986	"actor,soundtrack,director"	"tt0029870,tt0042041,tt0031867,tt0035575"
nm0000011	Gary Cooper	1901	1961	"actor,soundtrack,producer"	"tt0044706,tt0035896,tt0027996,tt0034167"
nm0000012	Bette Davis	1908	1989	"actress,soundtrack,make_up_department"	"tt0056687,tt0035140,tt0031210,tt0042192"
nm0000013	Doris Day	1922	2019	"soundtrack,actress,producer"	"tt0060463,tt0055100,tt0053172,tt0048317"
nm0000014	Olivia de Havilland	1916	\N	"actress,soundtrack"	"tt0041452,tt0040806,tt0029843,tt0031381"
nm0000015	James Dean	1931	1955	"actor,miscellaneous"	"tt0043228,tt0048545,tt0048028,tt0049261"
nm0000016	Georges Delerue	1925	1992	"composer,soundtrack,music_department"	"tt0057345,tt0069946,tt0091763,tt0096320"
nm0000017	Marlene Dietrich	1901	1992	"soundtrack,actress,music_department"	"tt0055031,tt0021156,tt0051201,tt0052311"
nm0000018	Kirk Douglas	1916	\N	"actor,producer,soundtrack"	"tt0052365,tt0080736,tt0054331,tt0043338"
nm0000019	Federico Fellini	1920	1993	"writer,director,assistant_director"	"tt0047528,tt0071129,tt0056801,tt0053779"
nm0000020	Henry Fonda	1905	1982	"actor,producer,soundtrack"	"tt0050083,tt0064116,tt0032551,tt0082846"
nm0000021	Joan Fontaine	1917	2013	"actress,soundtrack,producer"	"tt0034248,tt0032976,tt0036969,tt0039504"
nm0000022	Clark Gable	1901	1960	"actor,soundtrack,producer"	"tt0026752,tt0052278,tt0031381,tt0025316"
nm0000023	Judy Garland	1922	1969	"soundtrack,actress"	"tt0032138,tt0055031,tt0047522,tt0037059"
nm0000024	John Gielgud	1904	2000	"actor,writer,director"	"tt0071877,tt0082031,tt0045943,tt0117631"
nm0000025	Jerry Goldsmith	1929	2004	"music_department,soundtrack,composer"	"tt0117731,tt0100802,tt0119488,tt0112715"
nm0000026	Cary Grant	1904	1986	"actor,soundtrack,producer"	"tt0053125,tt0048728,tt0032599,tt0056923"
nm0000027	Alec Guinness	1914	2000	"actor,soundtrack,writer"	"tt0041546,tt0076759,tt0051739,tt0050212"
nm0000028	Rita Hayworth	1918	1987	"actress,soundtrack,producer"	"tt0040552,tt0036723,tt0038559,tt0040525"
nm0000029	Margaux Hemingway	1954	1996	"actress,miscellaneous"	"tt0074802,tt0102122,tt0077800,tt0110138"
nm0000030	Audrey Hepburn	1929	1993	"actress,soundtrack"	"tt0046250,tt0058385,tt0054698,tt0056923"
nm0000031	Katharine Hepburn	1907	2003	"actress,soundtrack,writer"	"tt0082846,tt0032904,tt0043265,tt0063227"
nm0000032	Charlton Heston	1923	2008	"actor,director,writer"	"tt0070723,tt0063442,tt0052618,tt0049833"
nm0000033	Alfred Hitchcock	1899	1980	"actor,director,producer"	"tt0052357,tt0053125,tt0054215,tt0056869"
nm0000034	William Holden	1918	1981	"actor,soundtrack"	"tt0074958,tt0072308,tt0046359,tt0043014"
nm0000035	James Horner	1953	2015	"music_department,soundtrack,composer"	"tt0499549,tt0120338,tt0120647,tt0120746"
nm0000036	Buster Keaton	1895	1966	"actor,writer,director"	"tt0015863,tt0017925,tt0015324,tt0016332"
nm0000037	Gene Kelly	1912	1996	"actor,soundtrack,director"	"tt0053946,tt0041716,tt0045152,tt0043278"
nm0000038	Grace Kelly	1929	1982	"actress,soundtrack"	"tt0048728,tt0046912,tt0047396,tt0044706"
nm0000039	Deborah Kerr	1921	2007	"actress,soundtrack"	"tt0050105,tt0039192,tt0049408,tt0045793"
nm0000040	Stanley Kubrick	1928	1999	"director,writer,producer"	"tt0120663,tt0072684,tt0066921,tt0062622"
nm0000041	Akira Kurosawa	1910	1998	"writer,director,assistant_director"	"tt0051808,tt0089881,tt0080979,tt0042876"
nm0000042	Alan Ladd	1913	1964	"actor,producer,camera_department"	"tt0038369,tt0035432,tt0042279,tt0046303"
nm0000043	Veronica Lake	1922	1973	"actress,soundtrack,producer"	"tt0038369,tt0034881,tt0034240,tt0035432"
nm0000044	Burt Lancaster	1913	1994	"actor,producer,miscellaneous"	"tt0045793,tt0050468,tt0051036,tt0053793"
nm0000045	Bruce Lee	1940	1973	"actor,miscellaneous,producer"	"tt0070034,tt0077594,tt0068767,tt0068935"
nm0000046	Vivien Leigh	1913	1967	"actress,soundtrack,writer"	"tt0031381,tt0033238,tt0034272,tt0044081"
nm0000047	Sophia Loren	1934	\N	"actress,soundtrack"	"tt0054749,tt0058335,tt0060121,tt0076085"
nm0000048	Peter Lorre	1904	1964	"actor,soundtrack,writer"	"tt0033870,tt0022100,tt0036613,tt0034583"
nm0000049	Henry Mancini	1924	1994	"music_department,soundtrack,composer"	"tt0057413,tt0054698,tt0383216,tt0085101"
nm0000050	Groucho Marx	1890	1977	"soundtrack,actor,writer"	"tt0022158,tt0028772,tt0023969,tt0026778"
nm0000051	James Mason	1909	1984	"actor,producer,writer"	"tt0047522,tt0056193,tt0053125,tt0046672"
nm0000052	Marcello Mastroianni	1924	1996	"actor,soundtrack,producer"	"tt0056801,tt0076085,tt0055913,tt0053779"
nm0000053	Robert Mitchum	1917	1997	"actor,soundtrack,producer"	"tt0039689,tt0048424,tt0056197,tt0101540"
nm0000054	Marilyn Monroe	1926	1962	"soundtrack,actress,writer"	"tt0045810,tt0053291,tt0050861,tt0048605"
nm0000055	Alfred Newman	1901	1970	"music_department,composer,soundtrack"	"tt0049408,tt0056085,tt0434409,tt0042192"
nm0000056	Paul Newman	1925	2008	"actor,producer,director"	"tt0061512,tt0054997,tt0084855,tt0090863"
nm0000057	David Niven	1910	1983	"actor,producer,soundtrack"	"tt0052182,tt0061452,tt0074937,tt0057413"
nm0000058	Maureen O'Hara	1920	2015	"actress,soundtrack"	"tt0041149,tt0045061,tt0039628,tt0055277"
nm0000059	Laurence Olivier	1907	1989	"actor,producer,director"	"tt0069281,tt0040416,tt0032976,tt0054331"
nm0000060	Gregory Peck	1916	2003	"actor,producer,soundtrack"	"tt0039416,tt0046250,tt0041996,tt0056592"
nm0000061	Tyrone Power	1914	1958	"actor,soundtrack,producer"	"tt0043959,tt0051201,tt0038873,tt0032762"
nm0000062	Elvis Presley	1935	1977	"soundtrack,actor,music_department"	"tt0056585,tt0056023,tt0054692,tt0053848"
nm0000063	Anthony Quinn	1915	2001	"actor,producer,soundtrack"	"tt0063599,tt0049456,tt0056172,tt0057831"
nm0000064	Edward G. Robinson	1893	1973	"actor,soundtrack,writer"	"tt0040506,tt0021079,tt0036775,tt0070723"
nm0000065	Nino Rota	1911	1979	"composer,soundtrack,music_department"	"tt0063518,tt0071562,tt0056801,tt0068646"
nm0000066	Jane Russell	1921	2011	"actress,soundtrack,producer"	"tt0045177,tt0043476,tt0043643,tt0045810"
nm0000067	Miklós Rózsa	1907	1995	"music_department,composer,soundtrack"	"tt0052618,tt0038109,tt0037884,tt0036775"
nm0000068	Randolph Scott	1898	1987	"actor,producer,soundtrack"	"tt0026942,tt0051047,tt0056412,tt0049743"
nm0000069	Frank Sinatra	1915	1998	"soundtrack,actor,producer"	"tt0056218,tt0050815,tt0052218,tt0045793"
nm0000070	Max Steiner	1888	1971	"music_department,composer,soundtrack"	"tt0031381,tt0036613,tt0040897,tt0034583"
nm0000071	James Stewart	1908	1997	"actor,soundtrack,director"	"tt0052561,tt0032904,tt0031679,tt0052357"
nm0000072	Elizabeth Taylor	1932	2011	"actress,soundtrack,producer"	"tt0056937,tt0051459,tt0061184,tt0053318"
nm0000073	Shirley Temple	1928	2014	"actress,soundtrack,writer"	"tt0030657,tt0032264,tt0040369,tt0027421"
nm0000074	Gene Tierney	1920	1991	"actress,soundtrack"	"tt0037008,tt0038492,tt0037865,tt0039420"
nm0000075	Spencer Tracy	1900	1967	"actor,soundtrack"	"tt0055031,tt0061735,tt0057193,tt0053946"
nm0000076	François Truffaut	1932	1984	"writer,director,producer"	"tt0075860,tt0055032,tt0053198,tt0070460"
nm0000077	Franz Waxman	1906	1967	"music_department,composer,soundtrack"	"tt0034248,tt0032976,tt0043014,tt0043924"
nm0000078	John Wayne	1907	1979	"actor,producer,soundtrack"	"tt0057298,tt0053580,tt0065126,tt0056217"
nm0000079	Raquel Welch	1940	\N	"actress,soundtrack,producer"	"tt0072281,tt0070291,tt0068795,tt0061653"
nm0000080	Orson Welles	1915	1985	"actor,director,writer"	"tt0057427,tt0052311,tt0048393,tt0033467"
nm0000081	Natalie Wood	1938	1981	"actress,soundtrack,music_department"	"tt0057263,tt0048545,tt0055471,tt0055614"
nm0000082	Victor Young	1900	1956	"music_department,soundtrack,composer"	"tt0045061,tt0090756,tt0119094,tt3315342"
nm0000083	Alan Miller	\N	\N	"editor,writer,director"	"tt5969604,tt0320978,tt0969216,tt0424773"
nm0000084	Li Gong	1965	\N	actress	"tt0473444,tt0430357,tt0397535,tt0101640"
nm0000085	Henner Hofmann	1950	\N	"cinematographer,producer,camera_department"	"tt1825758,tt0097523,tt0097738,tt0113482"
nm0000086	Louis de Funès	1914	1983	"actor,writer,soundtrack"	"tt0083109,tt0074103,tt0079200,tt0069747"
nm0000087	Elena Koreneva	1953	\N	"actress,casting_director"	"tt5847740,tt0122969,tt0123138,tt7529350"
nm0000089	Richard Paul	1940	1998	actor	"tt0093778,tt0117318,tt0075489,tt0088529"
nm0000090	Armin Mueller-Stahl	1930	\N	"actor,director,writer"	"tt0117631,tt0963178,tt0139809,tt0765443"
nm0000091	Gérard Pirès	1942	\N	"director,writer,actor"	"tt0064297,tt0282552,tt0152930,tt0421974"
nm0000092	John Cleese	1939	\N	"actor,writer,producer"	"tt0085959,tt0095159,tt0079470,tt0071853"
nm0000093	Brad Pitt	1963	\N	"actor,producer,soundtrack"	"tt0356910,tt0114746,tt1210166,tt0816711"
nm0000094	J. Reifel	\N	\N	writer	"tt0117915,tt0118886,tt0118631,tt0116030"
nm0000095	Woody Allen	1935	\N	"writer,director,actor"	"tt0118954,tt0079522,tt0075686,tt0097123"
nm0000096	Gillian Anderson	1968	\N	"actress,producer,soundtrack"	"tt0106179,tt0442632,tt0455590,tt2294189"
nm0000097	Pamela Anderson	1967	\N	"actress,producer,director"	"tt0426592,tt0306047,tt0115624,tt0267913"
nm0000098	Jennifer Aniston	1969	\N	"actress,producer,soundtrack"	"tt3442006,tt1723121,tt0108778,tt1038919"
nm0000099	Patricia Arquette	1968	\N	"actress,director,producer"	"tt1065073,tt0108399,tt0145531,tt0412175"
nm0000100	Rowan Atkinson	1955	\N	"actor,writer,soundtrack"	"tt0274166,tt0444653,tt0110357,tt0118689"
nm0000101	Dan Aykroyd	1952	\N	"writer,actor,producer"	"tt0080455,tt0097428,tt0087332,tt0118747"
nm0000102	Kevin Bacon	1958	\N	"actor,producer,soundtrack"	"tt0361127,tt0087277,tt0164052,tt0327056"
nm0000103	Fairuza Balk	1974	\N	"actress,soundtrack"	"tt0089908,tt0181875,tt0120586,tt0115963"
nm0000104	Antonio Banderas	1960	\N	"actor,soundtrack,producer"	"tt0120657,tt0120746,tt1189073,tt0112851"
nm0000105	Adrienne Barbeau	1945	\N	"actress,writer,soundtrack"	"tt1024648,tt0090685,tt0080749,tt0082340"
nm0000106	Drew Barrymore	1975	\N	"producer,actress,soundtrack"	"tt0120888,tt0343660,tt0120631,tt0151738"
nm0000107	Kim Basinger	1953	\N	"actress,soundtrack,producer"	"tt0119488,tt0096895,tt0337921,tt0108525"
nm0000108	Luc Besson	1959	\N	"writer,producer,director"	"tt0119116,tt2872732,tt0100263,tt0110413"
nm0000109	Yasmine Bleeth	1968	\N	actress	"tt0119271,tt0337851,tt0131857,tt0115285"
nm0000110	Kenneth Branagh	1960	\N	"actor,producer,director"	"tt0097499,tt0107616,tt3402236,tt0116477"
nm0000111	Matthew Broderick	1962	\N	"actor,soundtrack,director"	"tt0086567,tt0395251,tt0115798,tt0091042"
nm0000112	Pierce Brosnan	1953	\N	"actor,producer,soundtrack"	"tt0113189,tt0143145,tt0795421,tt0120347"
nm0000113	Sandra Bullock	1964	\N	"producer,actress,soundtrack"	"tt1454468,tt0212346,tt0111257,tt1041829"
nm0000114	Steve Buscemi	1957	\N	"actor,director,producer"	"tt4686844,tt0116282,tt0105236,tt0162346"
nm0000115	Nicolas Cage	1964	\N	"actor,producer,soundtrack"	"tt0399295,tt0113627,tt0117500,tt0119094"
nm0000116	James Cameron	1954	\N	"writer,producer,director"	"tt0090605,tt0103064,tt0120338,tt0499549"
nm0000117	Neve Campbell	1973	\N	"actress,producer,soundtrack"	"tt0120082,tt0117571,tt1262416,tt0134084"
nm0000118	John Carpenter	1948	\N	"soundtrack,writer,music_department"	"tt0080749,tt0082340,tt0093777,tt0077651"
nm0000119	Tia Carrere	1967	\N	"actress,soundtrack,producer"	"tt0207919,tt0275847,tt0105793,tt0111503"
nm0000120	Jim Carrey	1962	\N	"actor,writer,producer"	"tt0315327,tt0338013,tt0109040,tt0120382"
nm0000121	Phoebe Cates	1963	\N	"actress,soundtrack"	"tt0087363,tt0083929,tt0101775,tt0099700"
nm0000122	Charles Chaplin	1889	1977	"writer,soundtrack,actor"	"tt0032553,tt0027977,tt0039631,tt0044837"
nm0000123	George Clooney	1961	\N	"actor,producer,director"	"tt1193138,tt0465538,tt1124035,tt2177771"
nm0000124	Jennifer Connelly	1970	\N	actress	"tt0102803,tt0315983,tt0180093,tt0268978"
nm0000125	Sean Connery	1930	\N	"actor,producer,soundtrack"	"tt0094226,tt0059800,tt0058150,tt0117500"
nm0000126	Kevin Costner	1955	\N	"actor,producer,soundtrack"	"tt0119925,tt0103855,tt0102798,tt0099348"
nm0000127	Wes Craven	1939	2015	"writer,producer,director"	"tt0087800,tt0111686,tt0117571,tt0105121"
nm0000128	Russell Crowe	1964	\N	"actor,soundtrack,producer"	"tt0119488,tt1707386,tt0172495,tt0268978"
nm0000129	Tom Cruise	1962	\N	"actor,producer,soundtrack"	"tt0325710,tt0181689,tt0116695,tt0092099"
nm0000130	Jamie Lee Curtis	1958	\N	"actress,producer,director"	"tt0095159,tt1502407,tt0322330,tt0111503"
nm0000131	John Cusack	1966	\N	"actor,producer,writer"	"tt0098258,tt0119229,tt0146882,tt0450385"
nm0000132	Claire Danes	1979	\N	"actress,producer,soundtrack"	"tt0108872,tt0274558,tt1796960,tt0117509"
nm0000133	Geena Davis	1956	\N	"actress,producer,soundtrack"	"tt0116908,tt0104694,tt0103074,tt0091064"
nm0000134	Robert De Niro	1943	\N	"actor,producer,soundtrack"	"tt0070379,tt0101540,tt0081398,tt0075314"
nm0000135	John Denver	1943	1997	"soundtrack,music_department,actor"	"tt4649466,tt0076489,tt0120591,tt3967856"
nm0000136	Johnny Depp	1963	\N	"actor,producer,soundtrack"	"tt0449088,tt0325980,tt0383574,tt0408236"
nm0000137	Bo Derek	1956	\N	"actress,producer,miscellaneous"	"tt0114694,tt0083170,tt0086987,tt0099656"
nm0000138	Leonardo DiCaprio	1974	\N	"actor,producer,writer"	"tt0120338,tt0993846,tt1375666,tt0407887"
nm0000139	Cameron Diaz	1972	\N	"actress,producer,soundtrack"	"tt1284575,tt0129387,tt0160127,tt0259711"
nm0000140	Michael Douglas	1944	\N	"actor,producer,soundtrack"	"tt1291580,tt0103772,tt0094291,tt0093010"
nm0000141	David Duchovny	1960	\N	"actor,producer,director"	"tt0443701,tt0904208,tt0106179,tt0120902"
nm0000142	Clint Eastwood	1930	\N	"actor,producer,director"	"tt0105695,tt0112579,tt0405159,tt1205489"
nm0000143	Erika Eleniak	1969	\N	actress	"tt0083866,tt0094761,tt0105690,tt0106400"
nm0000144	Cary Elwes	1962	\N	"actor,producer,director"	"tt0387564,tt0119468,tt0093779,tt0107977"
nm0000145	Sherilyn Fenn	1965	\N	"actress,soundtrack"	"tt0100935,tt0092240,tt0105046,tt0098936"
nm0000146	Ralph Fiennes	1962	\N	"actor,director,soundtrack"	"tt2278388,tt1201607,tt0387131,tt0108052"
nm0000147	Colin Firth	1960	\N	"actor,producer,soundtrack"	"tt1504320,tt1315981,tt0243155,tt2802144"
nm0000148	Harrison Ford	1942	\N	"actor,writer,producer"	"tt0106977,tt0090329,tt0118571,tt0082971"
nm0000149	Jodie Foster	1962	\N	"actress,director,producer"	"tt0476964,tt0102926,tt0075314,tt0118884"
nm0000150	Michael J. Fox	1961	\N	"actor,producer,miscellaneous"	"tt0096874,tt0116365,tt0088763,tt0099088"
nm0000151	Morgan Freeman	1937	\N	"actor,producer,soundtrack"	"tt1057500,tt0097239,tt0114369,tt0405159"
nm0000152	Richard Gere	1949	\N	"actor,soundtrack,producer"	"tt0299658,tt0119395,tt0100405,tt0358135"
nm0000153	Gina Gershon	1962	\N	"actress,soundtrack,producer"	"tt1726669,tt0095963,tt0115736,tt0114436"
nm0000154	Mel Gibson	1956	\N	"actor,producer,director"	"tt0112573,tt0120784,tt0117438,tt0104714"
nm0000155	Whoopi Goldberg	1955	\N	"actress,producer,writer"	"tt0108147,tt0105417,tt0099653,tt0088939"
nm0000156	Jeff Goldblum	1952	\N	"actor,soundtrack,producer"	"tt0116629,tt2278388,tt0107290,tt0091064"
nm0000157	Linda Hamilton	1956	\N	actress	"tt0088247,tt0103064,tt0118928,tt6450804"
nm0000158	Tom Hanks	1956	\N	"producer,actor,soundtrack"	"tt0094737,tt0120815,tt0162222,tt0109830"
nm0000159	Teri Hatcher	1964	\N	"actress,soundtrack,writer"	"tt0106057,tt0410975,tt0327597,tt0120347"
nm0000160	Ethan Hawke	1970	\N	"actor,writer,soundtrack"	"tt0112471,tt0381681,tt2209418,tt0139654"
nm0000161	Salma Hayek	1966	\N	"actress,producer,soundtrack"	"tt1615065,tt0112851,tt0120891,tt0120679"
nm0000162	Anne Heche	1969	\N	"actress,writer,producer"	"tt0119008,tt0251160,tt0120885,tt0120828"
nm0000163	Dustin Hoffman	1937	\N	"actor,producer,soundtrack"	"tt0084805,tt0064665,tt0095953,tt0061722"
nm0000164	Anthony Hopkins	1937	\N	"actor,soundtrack,composer"	"tt0975645,tt0412080,tt0212985,tt0102926"
nm0000165	Ron Howard	1954	\N	"actor,producer,director"	"tt0268978,tt0870111,tt0367279,tt0112384"
